amenity	cuisine	takeaway	name
fast_food	burger		88 Cent Fast-Food
fast_food	burger		Allo Sandwich' Rapid'
fast_food	burger		A.M Burger
fast_food	burger;american		Café Racer Diner
fast_food	burger		American City Paris
fast_food	burger		American Drive
fast_food	burger;american;french;chicken;arab		Le Time's
fast_food	burger;american;pancake		Red Lab
fast_food	burger;american;panini		Le For You
fast_food	burger;american;sandwich;friture	yes	La Ria
fast_food	burger;american;sandwich;grill;french;friture;coffee_shop		La Kaz à  Jo'
fast_food	burger		American Snack
fast_food	burger;american	yes	Birdy
fast_food	burger		Anatolia
fast_food	burger		Artisanal Burger
fast_food	burger		Atomic Burger
fast_food	burger		Au Burger d'Or
fast_food	burger		Au Cheval
fast_food	burger		Au petit Gourmand
fast_food	burger		Au P'ty Gourmand
fast_food	burger		Authentik
fast_food	burger		Authentik
fast_food	burger		Avec Amour
fast_food	burger		AZ Burger
fast_food	burger;bagel		Jacob Meatpacker
fast_food	burger;bagel;smoothie;bubble_tea		Smooth'n'tea
fast_food	burger;bagel	yes	La Gryffondine
fast_food	burger;bakery;sandwich	yes	Jules et John
fast_food	burger		Batistin Burger
fast_food	burger		Bchef
fast_food	burger		BChef
fast_food	burger		.BE
fast_food	burger		Beach Burger
fast_food	burger		Beef'N Co
fast_food	burger		BES
fast_food	burger		BestFood
fast_food	burger		Best of
fast_food	burger		Big Burger River
fast_food	burger		Biggy Burger
fast_food	burger		BiiiG Food
fast_food	burger		Bioburger
fast_food	burger		Bioburger
fast_food	burger		Bioburger
fast_food	burger		Bioburger
fast_food	burger		Bip Bip Burger
fast_food	burger		Black and White
fast_food	burger		Black and White
fast_food	burger		Blend
fast_food	burger		Bois de l'Ours
fast_food	burger		Boit Burger
fast_food	burger		Bonidé
fast_food	burger		Boum Burger
fast_food	burger;brazilian		Kiosque Marajo
fast_food	burger		Breakfast in America
fast_food	burger		Brookl'n
fast_food	burger		Brooklyn Café
fast_food	burger		Brut Butcher
fast_food	burger		Brut Butcher
fast_food	burger		Brut Butcher
fast_food	burger		Bug's
fast_food	burger		Bundy’s burger
fast_food	burger;buns	only	Buns & Co
fast_food	burger		Burger
fast_food	burger		Burger
fast_food	burger		Burger à la Une
fast_food	burger		Burger and Fries
fast_food	burger		Burger Bar
fast_food	burger		Burger Bar BY Pizza Di Roma
fast_food	burger		Burgerbar Nice
fast_food	burger		Burger CIty
fast_food	burger		Burger Dream
fast_food	burger		Burger House
fast_food	burger		Burger House
fast_food	burger		Burger Hunter
fast_food	burger		Burgerim
fast_food	burger		Burger King
fast_food	burger		Burger King
fast_food	burger		Burger King
fast_food	burger		Burger King
fast_food	burger		Burger King
fast_food	burger		Burger King Bourges Charité Rocade
fast_food	burger		Burger King Marseille Castellane
fast_food	burger		Burger' N'co
fast_food	burger		Burger' N' Co
fast_food	burger		Burger' N'Co
fast_food	burger		Burger Nine
fast_food	burger		Burger Palace
fast_food	burger		Burger Palace
fast_food	burger		Burger Rock Cafe
fast_food	burger		Burgers and bagels
fast_food	burger		Burgers Avenue
fast_food	burger		Burgers Bar Manin
fast_food	burger		Burgers Cafe
fast_food	burger		Burger Sprint
fast_food	burger		Burger Squad
fast_food	burger		Burger sur Vienne
fast_food	burger		Butcher's
fast_food	burger		Buvette
fast_food	burger		Byron Burger Bar
fast_food	burger		California Burger
fast_food	burger		Ça Mange Pad'pain
fast_food	burger		Camion Gourmand
fast_food	burger		Canard Street Wazemmes
fast_food	burger		Captain Burger
fast_food	burger		Caribbean Chicken & Burger
fast_food	burger		CAS'DAL09
fast_food	burger		Cham Burger
fast_food	burger		Charly's Burger
fast_food	burger		Chartreuz Burger
fast_food	burger		Cheese
fast_food	burger		Cheese & Burger
fast_food	burger		Cheezer
fast_food	burger		Chez Angele
fast_food	burger		Chez Bibou
fast_food	burger		Chez Bodus le garçon boucher
fast_food	burger		Chez Guito
fast_food	burger		Chez Lucette
fast_food	burger		Chez Soi !
fast_food	burger;chicken;american;sandwich;ice_cream;steak_house	yes	McDonald's Guingamp
fast_food	burger		Chicken Berry
fast_food	burger		Chicken Best
fast_food	burger		Chicken Café
fast_food	burger;chicken		Chicken Cabana
fast_food	burger;chicken;friture;grill;indian;sandwich		O'Cheese Naans
fast_food	burger;chicken;kebab;sandwich;turkish	yes	Marmaris
fast_food	burger;chicken		Rolande Fried Chicken
fast_food	burger;chicken;sandwich;asian;mexican;american		FoodLocker
fast_food	burger;chicken;sandwich;kebab	yes	Snack Burger
fast_food	burger		Chicken Tacos 31
fast_food	burger;chicken;tacos	yes	Prim'Burger
fast_food	burger		Chicken West
fast_food	burger;chicken	yes	KFC
fast_food	burger;chicken	yes	Le Brooklyn
fast_food	burger;chicken	yes	McDonald's Caluire
fast_food	burger		Chick'n Beef
fast_food	burger		Chick'N Burger
fast_food	burger		Chic'n beef
fast_food	burger		Chill Shak
fast_food	burger;chinese	yes	Bô Quality Fast Food
fast_food	burger		City Snack
fast_food	burger		Cluburger
fast_food	burger;coffee_shop;donut;friture	yes	McDonald's
fast_food	burger;coffee_shop		Factory & Co
fast_food	burger;coffee_shop;sandwich		Fresh
fast_food	burger;coffee_shop	yes	La Petit' Pause
fast_food	burger;coffee_shop	yes	McDonald's
fast_food	burger		Coté Burger
fast_food	burger;créole		Le Preskil
fast_food	burger;crepes		La Fabrique
fast_food	burger		Cristal
fast_food	burger		Croq'Co Burger
fast_food	burger;diner;american		Le Brooklyn
fast_food	burger		Diner Fifty-One
fast_food	burger		Djeni Pause
fast_food	burger		Djerba Kebab
fast_food	burger		Dom'Burger
fast_food	burger		Doner's
fast_food	burger		Doudou Burger
fast_food	burger		EatLikePanda
fast_food	burger		Eat'n'Go
fast_food	burger		Eat Time
fast_food	burger		Eden Food Burger
fast_food	burger		Eden Food Burger
fast_food	burger		Eden Food Burger
fast_food	burger		Eden Food Burger
fast_food	burger		Elie's Burger
fast_food	burger		Ellis Gourmet Burger
fast_food	burger		Ellis Gourmet Burger
fast_food	burger		Enjoy's Burger
fast_food	burger		Euskal Burger
fast_food	burger		Family Burger
fast_food	burger		Family Burger
fast_food	burger		Family Food
fast_food	burger		Fast Burger 48
fast_food	burger;fast_food;american		Burger Theory
fast_food	burger;fast_food;american	yes	Mobster Diner
fast_food	burger		Fish & Burgers
fast_food	burger		Five Burger
fast_food	burger		Fives Original Burger Grill
fast_food	burger		Flach Burger
fast_food	burger		Flash Burger
fast_food	burger		Food Burger
fast_food	burger		Food Truck
fast_food	burger;french;american	only	Falafresh
fast_food	burger		French Burger Factory
fast_food	burger;french_fries;belgian;fried_food	yes	De Clercq
fast_food	burger;french_fries;belgian_specialities; friture	yes	Chez Salva
fast_food	burger		French is Burger
fast_food	burger;french;sandwich		La gourmandise de Sylvie
fast_food	burger		French’s Burger
